"Service","Service Bundle","Service Code","Object","EXPENDITURE","REVENUE"
"4 Parks, Rec&Neighbourhood Serv","4.1 Neighbourhood&Recreation Serv","4.1.2 Arenas","040 Purchased Services",2540422,0
"4 Parks, Rec&Neighbourhood Serv","4.1 Neighbourhood&Recreation Serv","4.1.2 Arenas","050 Materials & Supplies",182250,0
"4 Parks, Rec&Neighbourhood Serv","4.1 Neighbourhood&Recreation Serv","4.1.2 Arenas","060 Furniture & Equipment",390726,0
"4 Parks, Rec&Neighbourhood Serv","4.1 Neighbourhood&Recreation Serv","4.1.2 Arenas","130 User Fees",0,-5490980
"4 Parks, Rec&Neighbourhood Serv","4.1 Neighbourhood&Recreation Serv","4.1.2 Arenas","140 Other Municipal Revenues",0,-100000
"4 Parks, Rec&Neighbourhood Serv","4.1 Neighbourhood&Recreation Serv","4.1.3 Children's Services","010 Personnel Costs",1857889,0
"4 Parks, Rec&Neighbourhood Serv","4.1 Neighbourhood&Recreation Serv","4.1.3 Children's Services","020 Administrative Expenses",60013,0
"4 Parks, Rec&Neighbourhood Serv","4.1 Neighbourhood&Recreation Serv","4.1.3 Children's Services","040 Purchased Services",27141397,0
"4 Parks, Rec&Neighbourhood Serv","4.1 Neighbourhood&Recreation Serv","4.1.3 Children's Services","050 Materials & Supplies",19845,0
"4 Parks, Rec&Neighbourhood Serv","4.1 Neighbourhood&Recreation Serv","4.1.3 Children's Services","060 Furniture & Equipment",49987,0
"4 Parks, Rec&Neighbourhood Serv","4.1 Neighbourhood&Recreation Serv","4.1.3 Children's Services","070 Transfers",2381639,0
"4 Parks, Rec&Neighbourhood Serv","4.1 Neighbourhood&Recreation Serv","4.1.3 Children's Services","120 Government Grants & Subsidies",0,-25121778
"4 Parks, Rec&Neighbourhood Serv","4.1 Neighbourhood&Recreation Serv","4.1.3 Children's Services","140 Other Municipal Revenues",0,-336000
"4 Parks, Rec&Neighbourhood Serv","4.1 Neighbourhood&Recreation Serv","4.1.4 Community Centres","010 Personnel Costs",2640084,0
"4 Parks, Rec&Neighbourhood Serv","4.1 Neighbourhood&Recreation Serv","4.1.4 Community Centres","020 Administrative Expenses",30269,0
"4 Parks, Rec&Neighbourhood Serv","4.1 Neighbourhood&Recreation Serv","4.1.4 Community Centres","040 Purchased Services",93003,0
"4 Parks, Rec&Neighbourhood Serv","4.1 Neighbourhood&Recreation Serv","4.1.4 Community Centres","050 Materials & Supplies",338047,0
"4 Parks, Rec&Neighbourhood Serv","4.1 Neighbourhood&Recreation Serv","4.1.4 Community Centres","060 Furniture & Equipment",30025,0
"4 Parks, Rec&Neighbourhood Serv","4.1 Neighbourhood&Recreation Serv","4.1.4 Community Centres","080 Other Expenses",5782,0
"4 Parks, Rec&Neighbourhood Serv","4.1 Neighbourhood&Recreation Serv","4.1.4 Community Centres","120 Government Grants & Subsidies",0,-110719
"4 Parks, Rec&Neighbourhood Serv","4.1 Neighbourhood&Recreation Serv","4.1.4 Community Centres","130 User Fees",0,-1420334
"4 Parks, Rec&Neighbourhood Serv","4.1 Neighbourhood&Recreation Serv","4.1.4 Community Centres","140 Other Municipal Revenues",0,-32500
"4 Parks, Rec&Neighbourhood Serv","4.1 Neighbourhood&Recreation Serv","4.1.5 Community Development&Funding","010 Personnel Costs",469351,0
"4 Parks, Rec&Neighbourhood Serv","4.1 Neighbourhood&Recreation Serv","4.1.5 Community Development&Funding","020 Administrative Expenses",14809,0
"4 Parks, Rec&Neighbourhood Serv","4.1 Neighbourhood&Recreation Serv","4.1.5 Community Development&Funding","040 Purchased Services",501529,0
"4 Parks, Rec&Neighbourhood Serv","4.1 Neighbourhood&Recreation Serv","4.1.5 Community Development&Funding","050 Materials & Supplies",23782,0
"4 Parks, Rec&Neighbourhood Serv","4.1 Neighbourhood&Recreation Serv","4.1.5 Community Development&Funding","070 Transfers",1921231,0
"4 Parks, Rec&Neighbourhood Serv","4.1 Neighbourhood&Recreation Serv","4.1.6 Community Rec & Leisure Prog","010 Personnel Costs",1665375,0
"4 Parks, Rec&Neighbourhood Serv","4.1 Neighbourhood&Recreation Serv","4.1.6 Community Rec & Leisure Prog","020 Administrative Expenses",36948,0
"4 Parks, Rec&Neighbourhood Serv","4.1 Neighbourhood&Recreation Serv","4.1.6 Community Rec & Leisure Prog","040 Purchased Services",164467,0
"4 Parks, Rec&Neighbourhood Serv","4.1 Neighbourhood&Recreation Serv","4.1.6 Community Rec & Leisure Prog","050 Materials & Supplies",119366,0
"4 Parks, Rec&Neighbourhood Serv","4.1 Neighbourhood&Recreation Serv","4.1.6 Community Rec & Leisure Prog","060 Furniture & Equipment",1033,0
"4 Parks, Rec&Neighbourhood Serv","4.1 Neighbourhood&Recreation Serv","4.1.6 Community Rec & Leisure Prog","130 User Fees",0,-1164898
"4 Parks, Rec&Neighbourhood Serv","4.1 Neighbourhood&Recreation Serv","4.1.7 Golf","010 Personnel Costs",1906959,0
"4 Parks, Rec&Neighbourhood Serv","4.1 Neighbourhood&Recreation Serv","4.1.7 Golf","020 Administrative Expenses",15600,0
"4 Parks, Rec&Neighbourhood Serv","4.1 Neighbourhood&Recreation Serv","4.1.7 Golf","030 Financial Expenses",318700,0
"4 Parks, Rec&Neighbourhood Serv","4.1 Neighbourhood&Recreation Serv","4.1.7 Golf","040 Purchased Services",345822,0
"4 Parks, Rec&Neighbourhood Serv","4.1 Neighbourhood&Recreation Serv","4.1.7 Golf","050 Materials & Supplies",800691,0
"4 Parks, Rec&Neighbourhood Serv","4.1 Neighbourhood&Recreation Serv","4.1.7 Golf","060 Furniture & Equipment",499652,0
"4 Parks, Rec&Neighbourhood Serv","4.1 Neighbourhood&Recreation Serv","4.1.7 Golf","080 Other Expenses",8000,0
"4 Parks, Rec&Neighbourhood Serv","4.1 Neighbourhood&Recreation Serv","4.1.7 Golf","130 User Fees",0,-3042149
"4 Parks, Rec&Neighbourhood Serv","4.1 Neighbourhood&Recreation Serv","4.1.7 Golf","140 Other Municipal Revenues",0,-876318
"4 Parks, Rec&Neighbourhood Serv","4.1 Neighbourhood&Recreation Serv","4.1.9 Special Events Coordination","010 Personnel Costs",161448,0
"4 Parks, Rec&Neighbourhood Serv","4.1 Neighbourhood&Recreation Serv","4.1.9 Special Events Coordination","020 Administrative Expenses",4100,0
"4 Parks, Rec&Neighbourhood Serv","4.1 Neighbourhood&Recreation Serv","4.1.9 Special Events Coordination","040 Purchased Services",8500,0
"4 Parks, Rec&Neighbourhood Serv","4.1 Neighbourhood&Recreation Serv","4.1.9 Special Events Coordination","050 Materials & Supplies",7750,0
"4 Parks, Rec&Neighbourhood Serv","4.1 Neighbourhood&Recreation Serv","4.1.9 Special Events Coordination","060 Furniture & Equipment",7236,0
"4 Parks, Rec&Neighbourhood Serv","4.1 Neighbourhood&Recreation Serv","4.1.9 Special Events Coordination","080 Other Expenses",3000,0
"4 Parks, Rec&Neighbourhood Serv","4.1 Neighbourhood&Recreation Serv","4.1.9 Special Events Coordination","130 User Fees",0,-122032
"4 Parks, Rec&Neighbourhood Serv","4.1 Neighbourhood&Recreation Serv","4.1.9 Special Events Coordination","140 Other Municipal Revenues",0,-19130
"4 Parks, Rec&Neighbourhood Serv","4.1 Neighbourhood&Recreation Serv","4.1.10 Sports Services","010 Personnel Costs",823391,0
"4 Parks, Rec&Neighbourhood Serv","4.1 Neighbourhood&Recreation Serv","4.1.10 Sports Services","020 Administrative Expenses",1000,0
"4 Parks, Rec&Neighbourhood Serv","4.1 Neighbourhood&Recreation Serv","4.1.10 Sports Services","040 Purchased Services",95200,0
"4 Parks, Rec&Neighbourhood Serv","4.1 Neighbourhood&Recreation Serv","4.1.10 Sports Services","050 Materials & Supplies",317500,0
"4 Parks, Rec&Neighbourhood Serv","4.1 Neighbourhood&Recreation Serv","4.1.10 Sports Services","060 Furniture & Equipment",366445,0
"4 Parks, Rec&Neighbourhood Serv","4.1 Neighbourhood&Recreation Serv","4.1.10 Sports Services","070 Transfers",95000,0
"4 Parks, Rec&Neighbourhood Serv","4.1 Neighbourhood&Recreation Serv","4.1.10 Sports Services","130 User Fees",0,-671244
"4 Parks, Rec&Neighbourhood Serv","4.1 Neighbourhood&Recreation Serv","4.1.11 Storybook Gardens","010 Personnel Costs",817771,0
"4 Parks, Rec&Neighbourhood Serv","4.1 Neighbourhood&Recreation Serv","4.1.11 Storybook Gardens","020 Administrative Expenses",8750,0
"4 Parks, Rec&Neighbourhood Serv","4.1 Neighbourhood&Recreation Serv","4.1.11 Storybook Gardens","030 Financial Expenses",14850,0
"4 Parks, Rec&Neighbourhood Serv","4.1 Neighbourhood&Recreation Serv","4.1.11 Storybook Gardens","040 Purchased Services",257291,0
"4 Parks, Rec&Neighbourhood Serv","4.1 Neighbourhood&Recreation Serv","4.1.11 Storybook Gardens","050 Materials & Supplies",283097,0
"4 Parks, Rec&Neighbourhood Serv","4.1 Neighbourhood&Recreation Serv","4.1.11 Storybook Gardens","060 Furniture & Equipment",3943,0
"4 Parks, Rec&Neighbourhood Serv","4.1 Neighbourhood&Recreation Serv","4.1.11 Storybook Gardens","080 Other Expenses",27500,0
"4 Parks, Rec&Neighbourhood Serv","4.1 Neighbourhood&Recreation Serv","4.1.11 Storybook Gardens","130 User Fees",0,-1038726
"4 Parks, Rec&Neighbourhood Serv","4.1 Neighbourhood&Recreation Serv","4.1.11 Storybook Gardens","140 Other Municipal Revenues",0,-330000
"4 Parks, Rec&Neighbourhood Serv","4.2 Parks & Urban Forestry","4.2.2 Parks & Horticulture","010 Personnel Costs",3753240,0
"4 Parks, Rec&Neighbourhood Serv","4.2 Parks & Urban Forestry","4.2.2 Parks & Horticulture","020 Administrative Expenses",28750,0
"4 Parks, Rec&Neighbourhood Serv","4.2 Parks & Urban Forestry","4.2.2 Parks & Horticulture","040 Purchased Services",798828,0
"4 Parks, Rec&Neighbourhood Serv","4.2 Parks & Urban Forestry","4.2.2 Parks & Horticulture","050 Materials & Supplies",490700,0
"4 Parks, Rec&Neighbourhood Serv","4.2 Parks & Urban Forestry","4.2.2 Parks & Horticulture","060 Furniture & Equipment",1384037,0
"4 Parks, Rec&Neighbourhood Serv","4.2 Parks & Urban Forestry","4.2.3 Parks & Nat Areas Plng & Des","010 Personnel Costs",625992,0
"4 Parks, Rec&Neighbourhood Serv","4.2 Parks & Urban Forestry","4.2.3 Parks & Nat Areas Plng & Des","020 Administrative Expenses",5856,0
"4 Parks, Rec&Neighbourhood Serv","4.2 Parks & Urban Forestry","4.2.3 Parks & Nat Areas Plng & Des","040 Purchased Services",57723,0
"4 Parks, Rec&Neighbourhood Serv","4.2 Parks & Urban Forestry","4.2.3 Parks & Nat Areas Plng & Des","060 Furniture & Equipment",6597,0
"4 Parks, Rec&Neighbourhood Serv","4.2 Parks & Urban Forestry","4.2.4 Urban Forestry","010 Personnel Costs",1529155,0
"4 Parks, Rec&Neighbourhood Serv","4.2 Parks & Urban Forestry","4.2.4 Urban Forestry","020 Administrative Expenses",23780,0
"4 Parks, Rec&Neighbourhood Serv","4.2 Parks & Urban Forestry","4.2.4 Urban Forestry","040 Purchased Services",548641,0
"4 Parks, Rec&Neighbourhood Serv","4.2 Parks & Urban Forestry","4.2.4 Urban Forestry","050 Materials & Supplies",26158,0
"4 Parks, Rec&Neighbourhood Serv","4.2 Parks & Urban Forestry","4.2.4 Urban Forestry","060 Furniture & Equipment",414655,0
"4 Parks, Rec&Neighbourhood Serv","4.2 Parks & Urban Forestry","4.2.4 Urban Forestry","080 Other Expenses",50000,0
"4 Parks, Rec&Neighbourhood Serv","4.2 Parks & Urban Forestry","4.2.4 Urban Forestry","090 Recovered Expenses",-87213,0
"4 Parks, Rec&Neighbourhood Serv","4.2 Parks & Urban Forestry","4.2.4 Urban Forestry","130 User Fees",0,-43500
"5 Planning & Development Serv","5.1 Building Controls","5.1.1 Building Approvals","010 Personnel Costs",3593418,0
"5 Planning & Development Serv","5.1 Building Controls","5.1.1 Building Approvals","020 Administrative Expenses",64706,0
"5 Planning & Development Serv","5.1 Building Controls","5.1.1 Building Approvals","040 Purchased Services",36319,0
"5 Planning & Development Serv","5.1 Building Controls","5.1.1 Building Approvals","050 Materials & Supplies",32779,0
"5 Planning & Development Serv","5.1 Building Controls","5.1.1 Building Approvals","060 Furniture & Equipment",163942,0
"5 Planning & Development Serv","5.1 Building Controls","5.1.1 Building Approvals","130 User Fees",0,-5354100
"5 Planning & Development Serv","5.2 City Planning & Research","5.2.1 Land Use Planning","010 Personnel Costs",2237155,0
"5 Planning & Development Serv","5.2 City Planning & Research","5.2.1 Land Use Planning","020 Administrative Expenses",42403,0
"5 Planning & Development Serv","5.2 City Planning & Research","5.2.1 Land Use Planning","040 Purchased Services",369822,0
"5 Planning & Development Serv","5.2 City Planning & Research","5.2.1 Land Use Planning","050 Materials & Supplies",72417,0
"5 Planning & Development Serv","5.2 City Planning & Research","5.2.1 Land Use Planning","060 Furniture & Equipment",17558,0
"5 Planning & Development Serv","5.2 City Planning & Research","5.2.1 Land Use Planning","130 User Fees",0,-492850
"5 Planning & Development Serv","5.3 Development Approvals","5.3.1 Development Approvals","010 Personnel Costs",3953205,0
"5 Planning & Development Serv","5.3 Development Approvals","5.3.1 Development Approvals","020 Administrative Expenses",21922,0
"5 Planning & Development Serv","5.3 Development Approvals","5.3.1 Development Approvals","040 Purchased Services",24536,0
"5 Planning & Development Serv","5.3 Development Approvals","5.3.1 Development Approvals","050 Materials & Supplies",16395,0
"5 Planning & Development Serv","5.3 Development Approvals","5.3.1 Development Approvals","060 Furniture & Equipment",52699,0
"5 Planning & Development Serv","5.3 Development Approvals","5.3.1 Development Approvals","130 User Fees",0,-651800
"6 Protective Services","6.1 Animal  Services","6.1.1 Animal Services","010 Personnel Costs",73179,0
"6 Protective Services","6.1 Animal  Services","6.1.1 Animal Services","020 Administrative Expenses",500,0
"6 Protective Services","6.1 Animal  Services","6.1.1 Animal Services","040 Purchased Services",2125513,0
"6 Protective Services","6.1 Animal  Services","6.1.1 Animal Services","050 Materials & Supplies",1000,0
"6 Protective Services","6.1 Animal  Services","6.1.1 Animal Services","060 Furniture & Equipment",117603,0
"6 Protective Services","6.1 Animal  Services","6.1.1 Animal Services","130 User Fees",0,-1218000
"6 Protective Services","6.1 Animal  Services","6.1.1 Animal Services","140 Other Municipal Revenues",0,-41000
"6 Protective Services","6.2 By-law Enforcement","6.2.1 Bylaw Enforce & Property Stds","010 Personnel Costs",1857713,0
"6 Protective Services","6.2 By-law Enforcement","6.2.1 Bylaw Enforce & Property Stds","040 Purchased Services",138428,0
"6 Protective Services","6.2 By-law Enforcement","6.2.1 Bylaw Enforce & Property Stds","050 Materials & Supplies",19062,0
"6 Protective Services","6.2 By-law Enforcement","6.2.1 Bylaw Enforce & Property Stds","060 Furniture & Equipment",118380,0
"6 Protective Services","6.2 By-law Enforcement","6.2.1 Bylaw Enforce & Property Stds","130 User Fees",0,-1420650
"6 Protective Services","6.3 Emergency & Security Mngt","6.3.1 Emergency  Management","010 Personnel Costs",171925,0
"6 Protective Services","6.3 Emergency & Security Mngt","6.3.1 Emergency  Management","020 Administrative Expenses",10200,0
"6 Protective Services","6.3 Emergency & Security Mngt","6.3.1 Emergency  Management","040 Purchased Services",38616,0
"6 Protective Services","6.3 Emergency & Security Mngt","6.3.1 Emergency  Management","050 Materials & Supplies",4576,0
"6 Protective Services","6.3 Emergency & Security Mngt","6.3.1 Emergency  Management","060 Furniture & Equipment",865,0
"6 Protective Services","6.3 Emergency & Security Mngt","6.3.1 Emergency  Management","140 Other Municipal Revenues",0,-22242
"6 Protective Services","6.3 Emergency & Security Mngt","6.3.2 Security  Management","010 Personnel Costs",509714,0
"6 Protective Services","6.3 Emergency & Security Mngt","6.3.2 Security  Management","020 Administrative Expenses",10000,0
"6 Protective Services","6.3 Emergency & Security Mngt","6.3.2 Security  Management","040 Purchased Services",578240,0
"6 Protective Services","6.3 Emergency & Security Mngt","6.3.2 Security  Management","050 Materials & Supplies",1750,0
"6 Protective Services","6.3 Emergency & Security Mngt","6.3.2 Security  Management","060 Furniture & Equipment",20692,0
"6 Protective Services","6.3 Emergency & Security Mngt","6.3.2 Security  Management","090 Recovered Expenses",-62289,0
"6 Protective Services","6.3 Emergency & Security Mngt","6.3.2 Security  Management","140 Other Municipal Revenues",0,-139428
"6 Protective Services","6.4 Fire Services","6.4.2 Fire & Rescue Services","010 Personnel Costs",46944291,0
"6 Protective Services","6.4 Fire Services","6.4.2 Fire & Rescue Services","020 Administrative Expenses",377301,0
"6 Protective Services","6.4 Fire Services","6.4.2 Fire & Rescue Services","040 Purchased Services",410965,0
"6 Protective Services","6.4 Fire Services","6.4.2 Fire & Rescue Services","050 Materials & Supplies",1325992,0
"6 Protective Services","6.4 Fire Services","6.4.2 Fire & Rescue Services","060 Furniture & Equipment",194360,0
"6 Protective Services","6.4 Fire Services","6.4.2 Fire & Rescue Services","130 User Fees",0,-223630
"6 Protective Services","6.4 Fire Services","6.4.3 Fire Prevention & Education","010 Personnel Costs",2276144,0
"6 Protective Services","6.4 Fire Services","6.4.3 Fire Prevention & Education","020 Administrative Expenses",915,0
"6 Protective Services","6.4 Fire Services","6.4.3 Fire Prevention & Education","050 Materials & Supplies",86850,0
"6 Protective Services","6.4 Fire Services","6.4.3 Fire Prevention & Education","060 Furniture & Equipment",45500,0
"6 Protective Services","6.4 Fire Services","6.4.3 Fire Prevention & Education","130 User Fees",0,-140000
"6 Protective Services","6.4 Fire Services","6.4.4 Specialized Rescue Services","020 Administrative Expenses",780,0
"6 Protective Services","6.4 Fire Services","6.4.4 Specialized Rescue Services","050 Materials & Supplies",3120,0
"6 Protective Services","6.4 Fire Services","6.4.4 Specialized Rescue Services","060 Furniture & Equipment",99840,0
"6 Protective Services","6.5 Police Services","6.5.1 Police Services","010 Personnel Costs",82268699,0
"6 Protective Services","6.5 Police Services","6.5.1 Police Services","020 Administrative Expenses",1125904,0
"6 Protective Services","6.5 Police Services","6.5.1 Police Services","030 Financial Expenses",1027611,0
"6 Protective Services","6.5 Police Services","6.5.1 Police Services","040 Purchased Services",3444039,0
"6 Protective Services","6.5 Police Services","6.5.1 Police Services","050 Materials & Supplies",3076099,0
"6 Protective Services","6.5 Police Services","6.5.1 Police Services","060 Furniture & Equipment",437300,0
"6 Protective Services","6.5 Police Services","6.5.1 Police Services","080 Other Expenses",1000,0
"6 Protective Services","6.5 Police Services","6.5.1 Police Services","090 Recovered Expenses",-221850,0
"6 Protective Services","6.5 Police Services","6.5.1 Police Services","120 Government Grants & Subsidies",0,-3359110
"6 Protective Services","6.5 Police Services","6.5.1 Police Services","130 User Fees",0,-184863
"6 Protective Services","6.5 Police Services","6.5.1 Police Services","140 Other Municipal Revenues",0,-2704834
"7 Social & Health Services","7.1 Housing","7.1.1 Afford Housing Plng & Funding","010 Personnel Costs",65095,0
"7 Social & Health Services","7.1 Housing","7.1.1 Afford Housing Plng & Funding","020 Administrative Expenses",500,0
"7 Social & Health Services","7.1 Housing","7.1.1 Afford Housing Plng & Funding","040 Purchased Services",113460,0
"7 Social & Health Services","7.1 Housing","7.1.1 Afford Housing Plng & Funding","140 Other Municipal Revenues",0,-113460
"7 Social & Health Services","7.1 Housing","7.1.3 Social Housing Administration","010 Personnel Costs",1076259,0
"7 Social & Health Services","7.1 Housing","7.1.3 Social Housing Administration","020 Administrative Expenses",21907,0
"7 Social & Health Services","7.1 Housing","7.1.3 Social Housing Administration","040 Purchased Services",29915677,0
"7 Social & Health Services","7.1 Housing","7.1.3 Social Housing Administration","050 Materials & Supplies",8200,0
"7 Social & Health Services","7.1 Housing","7.1.3 Social Housing Administration","060 Furniture & Equipment",22500,0
"7 Social & Health Services","7.1 Housing","7.1.3 Social Housing Administration","070 Transfers",36497,0
"7 Social & Health Services","7.1 Housing","7.1.3 Social Housing Administration","120 Government Grants & Subsidies",0,-6973562
"7 Social & Health Services","7.1 Housing","7.1.3 Social Housing Administration","140 Other Municipal Revenues",0,-4368054
"7 Social & Health Services","7.2 Long Term Care","7.2.1 Adult Day Programs","010 Personnel Costs",245943,0
"7 Social & Health Services","7.2 Long Term Care","7.2.1 Adult Day Programs","020 Administrative Expenses",75225,0
"7 Social & Health Services","7.2 Long Term Care","7.2.1 Adult Day Programs","040 Purchased Services",50750,0
"7 Social & Health Services","7.2 Long Term Care","7.2.1 Adult Day Programs","050 Materials & Supplies",18453,0
"7 Social & Health Services","7.2 Long Term Care","7.2.1 Adult Day Programs","070 Transfers",135282,0
"7 Social & Health Services","7.2 Long Term Care","7.2.1 Adult Day Programs","080 Other Expenses",23000,0
"7 Social & Health Services","7.2 Long Term Care","7.2.1 Adult Day Programs","120 Government Grants & Subsidies",0,-395648
"7 Social & Health Services","7.2 Long Term Care","7.2.1 Adult Day Programs","130 User Fees",0,-152630
"7 Social & Health Services","7.2 Long Term Care","7.2.2 Long Term Care-Dearness Home","010 Personnel Costs",16508913,0
"7 Social & Health Services","7.2 Long Term Care","7.2.2 Long Term Care-Dearness Home","020 Administrative Expenses",111128,0
